Portas;Bloco_Publico;Bloco_Privado
5056 - 9087;187.61.110.112;100.64.0.240
5056 - 9087;187.61.110.113;100.64.0.241
5056 - 9087;187.61.110.114;100.64.0.242
5056 - 9087;187.61.110.115;100.64.0.243
5056 - 9087;187.61.110.116;100.64.0.244
5056 - 9087;187.61.110.117;100.64.0.245
5056 - 9087;187.61.110.118;100.64.0.246
5056 - 9087;187.61.110.119;100.64.0.247
5056 - 9087;187.61.110.120;100.64.0.248
5056 - 9087;187.61.110.121;100.64.0.249
5056 - 9087;187.61.110.122;100.64.0.250
5056 - 9087;187.61.110.123;100.64.0.251
5056 - 9087;187.61.110.124;100.64.0.252
5056 - 9087;187.61.110.125;100.64.0.253
5056 - 9087;187.61.110.126;100.64.0.254
5056 - 9087;187.61.110.127;100.64.0.255
9088 - 13119;187.61.110.0;100.64.1.0
9088 - 13119;187.61.110.1;100.64.1.1
9088 - 13119;187.61.110.2;100.64.1.2
9088 - 13119;187.61.110.3;100.64.1.3
9088 - 13119;187.61.110.4;100.64.1.4
9088 - 13119;187.61.110.5;100.64.1.5
9088 - 13119;187.61.110.6;100.64.1.6
9088 - 13119;187.61.110.7;100.64.1.7
9088 - 13119;187.61.110.8;100.64.1.8
9088 - 13119;187.61.110.9;100.64.1.9
9088 - 13119;187.61.110.10;100.64.1.10
9088 - 13119;187.61.110.11;100.64.1.11
9088 - 13119;187.61.110.12;100.64.1.12
9088 - 13119;187.61.110.13;100.64.1.13
9088 - 13119;187.61.110.14;100.64.1.14
9088 - 13119;187.61.110.15;100.64.1.15
9088 - 13119;187.61.110.16;100.64.1.16
9088 - 13119;187.61.110.17;100.64.1.17
9088 - 13119;187.61.110.18;100.64.1.18
9088 - 13119;187.61.110.19;100.64.1.19
9088 - 13119;187.61.110.20;100.64.1.20
9088 - 13119;187.61.110.21;100.64.1.21
9088 - 13119;187.61.110.22;100.64.1.22
9088 - 13119;187.61.110.23;100.64.1.23
9088 - 13119;187.61.110.24;100.64.1.24
9088 - 13119;187.61.110.25;100.64.1.25
9088 - 13119;187.61.110.26;100.64.1.26
9088 - 13119;187.61.110.27;100.64.1.27
9088 - 13119;187.61.110.28;100.64.1.28
9088 - 13119;187.61.110.29;100.64.1.29
9088 - 13119;187.61.110.30;100.64.1.30
9088 - 13119;187.61.110.31;100.64.1.31
9088 - 13119;187.61.110.32;100.64.1.32
9088 - 13119;187.61.110.33;100.64.1.33
9088 - 13119;187.61.110.34;100.64.1.34
9088 - 13119;187.61.110.35;100.64.1.35
9088 - 13119;187.61.110.36;100.64.1.36
9088 - 13119;187.61.110.37;100.64.1.37
9088 - 13119;187.61.110.38;100.64.1.38
9088 - 13119;187.61.110.39;100.64.1.39
9088 - 13119;187.61.110.40;100.64.1.40
9088 - 13119;187.61.110.41;100.64.1.41
9088 - 13119;187.61.110.42;100.64.1.42
9088 - 13119;187.61.110.43;100.64.1.43
9088 - 13119;187.61.110.44;100.64.1.44
9088 - 13119;187.61.110.45;100.64.1.45
9088 - 13119;187.61.110.46;100.64.1.46
9088 - 13119;187.61.110.47;100.64.1.47
9088 - 13119;187.61.110.48;100.64.1.48
9088 - 13119;187.61.110.49;100.64.1.49
9088 - 13119;187.61.110.50;100.64.1.50
9088 - 13119;187.61.110.51;100.64.1.51
9088 - 13119;187.61.110.52;100.64.1.52
9088 - 13119;187.61.110.53;100.64.1.53
9088 - 13119;187.61.110.54;100.64.1.54
9088 - 13119;187.61.110.55;100.64.1.55
