Portas;Bloco_Publico;Bloco_Privado
13120 - 15135;186.0.148.140;100.64.4.204
13120 - 15135;186.0.148.141;100.64.4.205
13120 - 15135;186.0.148.142;100.64.4.206
13120 - 15135;186.0.148.143;100.64.4.207
13120 - 15135;186.0.148.144;100.64.4.208
13120 - 15135;186.0.148.145;100.64.4.209
13120 - 15135;186.0.148.146;100.64.4.210
13120 - 15135;186.0.148.147;100.64.4.211
13120 - 15135;186.0.148.148;100.64.4.212
13120 - 15135;186.0.148.149;100.64.4.213
13120 - 15135;186.0.148.150;100.64.4.214
13120 - 15135;186.0.148.151;100.64.4.215
13120 - 15135;186.0.148.152;100.64.4.216
13120 - 15135;186.0.148.153;100.64.4.217
13120 - 15135;186.0.148.154;100.64.4.218
13120 - 15135;186.0.148.155;100.64.4.219
13120 - 15135;186.0.148.156;100.64.4.220
13120 - 15135;186.0.148.157;100.64.4.221
13120 - 15135;186.0.148.158;100.64.4.222
13120 - 15135;186.0.148.159;100.64.4.223
15136 - 17151;186.0.148.128;100.64.4.224
15136 - 17151;186.0.148.129;100.64.4.225
15136 - 17151;186.0.148.130;100.64.4.226
15136 - 17151;186.0.148.131;100.64.4.227
15136 - 17151;186.0.148.132;100.64.4.228
15136 - 17151;186.0.148.133;100.64.4.229
15136 - 17151;186.0.148.134;100.64.4.230
15136 - 17151;186.0.148.135;100.64.4.231
15136 - 17151;186.0.148.136;100.64.4.232
15136 - 17151;186.0.148.137;100.64.4.233
15136 - 17151;186.0.148.138;100.64.4.234
15136 - 17151;186.0.148.139;100.64.4.235
15136 - 17151;186.0.148.140;100.64.4.236
15136 - 17151;186.0.148.141;100.64.4.237
15136 - 17151;186.0.148.142;100.64.4.238
15136 - 17151;186.0.148.143;100.64.4.239
15136 - 17151;186.0.148.144;100.64.4.240
15136 - 17151;186.0.148.145;100.64.4.241
15136 - 17151;186.0.148.146;100.64.4.242
15136 - 17151;186.0.148.147;100.64.4.243
15136 - 17151;186.0.148.148;100.64.4.244
15136 - 17151;186.0.148.149;100.64.4.245
15136 - 17151;186.0.148.150;100.64.4.246
15136 - 17151;186.0.148.151;100.64.4.247
15136 - 17151;186.0.148.152;100.64.4.248
15136 - 17151;186.0.148.153;100.64.4.249
15136 - 17151;186.0.148.154;100.64.4.250
15136 - 17151;186.0.148.155;100.64.4.251
15136 - 17151;186.0.148.156;100.64.4.252
15136 - 17151;186.0.148.157;100.64.4.253
15136 - 17151;186.0.148.158;100.64.4.254
15136 - 17151;186.0.148.159;100.64.4.255
17152 - 19167;186.0.148.128;100.64.5.0
17152 - 19167;186.0.148.129;100.64.5.1
17152 - 19167;186.0.148.130;100.64.5.2
17152 - 19167;186.0.148.131;100.64.5.3
17152 - 19167;186.0.148.132;100.64.5.4
17152 - 19167;186.0.148.133;100.64.5.5
17152 - 19167;186.0.148.134;100.64.5.6
17152 - 19167;186.0.148.135;100.64.5.7
17152 - 19167;186.0.148.136;100.64.5.8
17152 - 19167;186.0.148.137;100.64.5.9
17152 - 19167;186.0.148.138;100.64.5.10
17152 - 19167;186.0.148.139;100.64.5.11
17152 - 19167;186.0.148.140;100.64.5.12
17152 - 19167;186.0.148.141;100.64.5.13
17152 - 19167;186.0.148.142;100.64.5.14
17152 - 19167;186.0.148.143;100.64.5.15
17152 - 19167;186.0.148.144;100.64.5.16
17152 - 19167;186.0.148.145;100.64.5.17
17152 - 19167;186.0.148.146;100.64.5.18
17152 - 19167;186.0.148.147;100.64.5.19
17152 - 19167;186.0.148.148;100.64.5.20
17152 - 19167;186.0.148.149;100.64.5.21
17152 - 19167;186.0.148.150;100.64.5.22
17152 - 19167;186.0.148.151;100.64.5.23
17152 - 19167;186.0.148.152;100.64.5.24
17152 - 19167;186.0.148.153;100.64.5.25
17152 - 19167;186.0.148.154;100.64.5.26
17152 - 19167;186.0.148.155;100.64.5.27
17152 - 19167;186.0.148.156;100.64.5.28
17152 - 19167;186.0.148.157;100.64.5.29
17152 - 19167;186.0.148.158;100.64.5.30
17152 - 19167;186.0.148.159;100.64.5.31
19168 - 21183;186.0.148.128;100.64.5.32
19168 - 21183;186.0.148.129;100.64.5.33
19168 - 21183;186.0.148.130;100.64.5.34
19168 - 21183;186.0.148.131;100.64.5.35
19168 - 21183;186.0.148.132;100.64.5.36
19168 - 21183;186.0.148.133;100.64.5.37
19168 - 21183;186.0.148.134;100.64.5.38
19168 - 21183;186.0.148.135;100.64.5.39
19168 - 21183;186.0.148.136;100.64.5.40
19168 - 21183;186.0.148.137;100.64.5.41
19168 - 21183;186.0.148.138;100.64.5.42
19168 - 21183;186.0.148.139;100.64.5.43
19168 - 21183;186.0.148.140;100.64.5.44
19168 - 21183;186.0.148.141;100.64.5.45
19168 - 21183;186.0.148.142;100.64.5.46
19168 - 21183;186.0.148.143;100.64.5.47
19168 - 21183;186.0.148.144;100.64.5.48
19168 - 21183;186.0.148.145;100.64.5.49
19168 - 21183;186.0.148.146;100.64.5.50
19168 - 21183;186.0.148.147;100.64.5.51
19168 - 21183;186.0.148.148;100.64.5.52
19168 - 21183;186.0.148.149;100.64.5.53
19168 - 21183;186.0.148.150;100.64.5.54
19168 - 21183;186.0.148.151;100.64.5.55
19168 - 21183;186.0.148.152;100.64.5.56
19168 - 21183;186.0.148.153;100.64.5.57
19168 - 21183;186.0.148.154;100.64.5.58
19168 - 21183;186.0.148.155;100.64.5.59
19168 - 21183;186.0.148.156;100.64.5.60
19168 - 21183;186.0.148.157;100.64.5.61
19168 - 21183;186.0.148.158;100.64.5.62
19168 - 21183;186.0.148.159;100.64.5.63
21184 - 23199;186.0.148.128;100.64.5.64
21184 - 23199;186.0.148.129;100.64.5.65
21184 - 23199;186.0.148.130;100.64.5.66
21184 - 23199;186.0.148.131;100.64.5.67
21184 - 23199;186.0.148.132;100.64.5.68
21184 - 23199;186.0.148.133;100.64.5.69
21184 - 23199;186.0.148.134;100.64.5.70
21184 - 23199;186.0.148.135;100.64.5.71
21184 - 23199;186.0.148.136;100.64.5.72
21184 - 23199;186.0.148.137;100.64.5.73
21184 - 23199;186.0.148.138;100.64.5.74
21184 - 23199;186.0.148.139;100.64.5.75
21184 - 23199;186.0.148.140;100.64.5.76
21184 - 23199;186.0.148.141;100.64.5.77
21184 - 23199;186.0.148.142;100.64.5.78
21184 - 23199;186.0.148.143;100.64.5.79
21184 - 23199;186.0.148.144;100.64.5.80
21184 - 23199;186.0.148.145;100.64.5.81
21184 - 23199;186.0.148.146;100.64.5.82
21184 - 23199;186.0.148.147;100.64.5.83
21184 - 23199;186.0.148.148;100.64.5.84
21184 - 23199;186.0.148.149;100.64.5.85
21184 - 23199;186.0.148.150;100.64.5.86
21184 - 23199;186.0.148.151;100.64.5.87
21184 - 23199;186.0.148.152;100.64.5.88
21184 - 23199;186.0.148.153;100.64.5.89
21184 - 23199;186.0.148.154;100.64.5.90
21184 - 23199;186.0.148.155;100.64.5.91
21184 - 23199;186.0.148.156;100.64.5.92
21184 - 23199;186.0.148.157;100.64.5.93
21184 - 23199;186.0.148.158;100.64.5.94
21184 - 23199;186.0.148.159;100.64.5.95
23200 - 25215;186.0.148.128;100.64.5.96
23200 - 25215;186.0.148.129;100.64.5.97
23200 - 25215;186.0.148.130;100.64.5.98
