Portas;Bloco_Publico;Bloco_Privado
59488 - 61503;187.61.110.162;100.64.0.234
59488 - 61503;187.61.110.163;100.64.0.235
59488 - 61503;187.61.110.164;100.64.0.236
59488 - 61503;187.61.110.165;100.64.0.237
59488 - 61503;187.61.110.166;100.64.0.238
59488 - 61503;187.61.110.167;100.64.0.239
61504 - 63519;187.61.110.160;100.64.0.240
61504 - 63519;187.61.110.161;100.64.0.241
61504 - 63519;187.61.110.162;100.64.0.242
61504 - 63519;187.61.110.163;100.64.0.243
61504 - 63519;187.61.110.164;100.64.0.244
61504 - 63519;187.61.110.165;100.64.0.245
61504 - 63519;187.61.110.166;100.64.0.246
61504 - 63519;187.61.110.167;100.64.0.247
63520 - 65535;187.61.110.160;100.64.0.248
63520 - 65535;187.61.110.161;100.64.0.249
63520 - 65535;187.61.110.162;100.64.0.250
63520 - 65535;187.61.110.163;100.64.0.251
63520 - 65535;187.61.110.164;100.64.0.252
63520 - 65535;187.61.110.165;100.64.0.253
63520 - 65535;187.61.110.166;100.64.0.254
63520 - 65535;187.61.110.167;100.64.0.255
